TIME_25_1;HRR_25_1;TIME_25_2;HRR_25_2;TIME_25_3;HRR_25_3;TIME_50_1;HRR_50_1;TIME_50_2;HRR_50_2;TIME_50_3;HRR_50_3;TIME_75_1;HRR_75_1;TIME_75_2;HRR_75_2;TIME_75_3;HRR_75_3
570.0;105.96404419771;570.0;99.2292927932091;570.0;87.2424038400234;570.0;45.9540583684667;570.0;22.7556524117629;570.0;16.7225234509951;570.0;0.524148188031698;570.0;4.32551399475441;570.0;3.88324472748561
575.0;95.2975248707224;575.0;93.4472968058306;575.0;84.6014692417158;575.0;43.6292834211139;575.0;22.2495287675824;575.0;15.8932084299031;575.0;-0.155263293806585;575.0;3.91093765682894;575.0;3.14081259887386
580.0;95.5714828063111;580.0;97.3904697492;580.0;83.9236806715134;580.0;43.7809500317689;580.0;21.9091220500049;580.0;13.3106624740751;580.0;0.000440161627711;580.0;2.83672697016766;580.0;3.41935327761094
585.0;90.2923216797189;585.0;96.7971716776654;585.0;80.8489104245831;585.0;39.1407340054313;585.0;22.4705194625506;585.0;12.7252475566518;585.0;-0.0358896440402729;585.0;2.60210281746851;585.0;3.72537958314179
590.0;88.4012911975776;590.0;93.6473244525621;590.0;77.6545101201661;590.0;38.9618727163957;590.0;21.68643602222;590.0;11.5301928524225;590.0;-0.182766450635412;590.0;2.10122139737699;590.0;4.50540520824707
595.0;85.0661721838412;595.0;88.9690239834578;595.0;75.9129592708923;595.0;35.9098514281495;595.0;20.961671114526;595.0;10.4181592320397;595.0;0.695158903360796;595.0;2.20487638736195;595.0;3.59170581738926
600.0;82.2172605469119;600.0;87.5460753876583;600.0;74.4798521865908;600.0;33.4854272895867;600.0;20.8587085642072;600.0;10.4260431773446;600.0;1.70943875071349;600.0;2.07706770856708;600.0;2.45920856624067
605.0;81.704700001787;605.0;82.8157019321385;605.0;70.6313685765819;605.0;31.6098776423962;605.0;18.3241599438269;605.0;10.3613459991032;605.0;-0.143385005020054;605.0;0.965420003698612;605.0;1.66764930862909
610.0;78.4162190441221;610.0;79.3070100378876;610.0;69.124972566254;610.0;30.6569817445017;610.0;17.1058569259699;610.0;8.87523916865155;610.0;-1.89145599742563;610.0;0.852758419063512;610.0;1.81387157042479
615.0;76.2419539521077;615.0;75.1720344022968;615.0;67.5499252927358;615.0;28.7096500951803;615.0;16.8526787887935;615.0;9.41957591995377;615.0;-0.781574418240009;615.0;-0.126138067983304;;
