Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:23:53
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
35;127;105.64;5.76;;;1.80;1.63;30.05;;276.35;;14.53;0.0088;Distortion. Melting. End flame at 169s.
;2010-07-23;c_LSFIRE_IN8-3_35a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
617;3.187268873;0.27267976;0.073339362
619;3.182061464;0.27154805;0.07905654
621;3.156295345;0.26719194;0.104855352
623;3.162139641;0.28110041;0.104855352
625;3.227506762;0.26627147;0.084947163
627;3.159426775;0.29053153;0.03151599
629;3.087289557;0.30789834;0.025798812
631;3.24097698;0.29117158;5.16254E-16
633;3.154485192;0.27758034;0.005623489
635;3.184746308;0.29568129;0.077109125
637;3.076457486;0.23517656;0.13647449
639;3.160818811;0.23517656;0.179255556
641;3.189393889;0.30823082;0.213433155
643;3.113801685;0.27332427;0.231307516
645;3.16311913;0.2634067;0.15982188
647;3.121920136;0.16607081;0.100456515
649;3.12714969;0.3766757;0.057675449
651;3.102175681;0.3766757;0.030470945
653;3.130039179;0.26474332;0.006973095
655;3.164646555;0.2712773;0.006973095
657;3.196876105;0.24575947;0.045204521
659;3.157893355;0.26453728;0.096594703
661;3.173765813;0.21033968;0.09942161
663;3.218608221;0.22558032;0.118744449
665;3.19250702;0.24878342;0.118744449
667;3.086461618;0.27185376;0.080513022
669;3.20198206;0.27453965;0.029122841
671;3.160376156;0.25528654;0.019322839
673;3.138685477;0.25855297;5.52336E-16
675;3.151156752;0.25347797;5.52336E-16
677;3.153005377;0.24950789;0.010897319
679;3.132022951;0.22254112;0.086586274
681;3.15087365;0.22846183;0.125373905
683;3.152893056;0.24692241;0.167466774
685;3.150101748;0.22190107;0.203292831
687;3.169488585;0.24513504;0.192395512
689;3.22951743;0.22670124;0.116706557
691;3.138178133;0.22980961;0.077918927
693;3.174989575;0.28189257;0.035826057
695;3.193492586;0.28637587;0.003581345
697;3.1592926;0.23341002;0.003581345
699;3.1993534;0.20319206;0.075431024
701;3.187559016;0.22474577;0.124150274
703;3.138443654;0.58748217;0.206553324
705;3.158226208;0.12715624;0.208671331
707;3.162048909;0.22747368;0.258689931
709;3.08117951;0.39574955;0.214987058
711;3.145590954;0.21712768;0.171116048
713;3.142551388;0.23486937;0.088712999
715;3.158053702;0.23031726;0.083013647
717;3.210288478;0.25626911;0.043598452
719;3.229782266;0.24179943;0.023517496
721;3.17705865;0.24508707;0.066686287
723;3.15537795;0.22056333;0.090952959
725;3.153713424;0.23415457;0.144622856
727;3.168475188;0.24286122;0.191108328
729;3.139096804;0.28183343;0.183042479
731;3.184652261;0.22680574;0.135025447
733;3.139683317;0.25079096;0.110758775
735;3.203312149;0.25950877;0.057088878
737;3.2061672;0.25884789;5.10703E-16
739;3.109864239;0.2749454;0.001718892
741;3.184414331;0.27059932;0.001718892
743;3.167750557;0.22674215;0.010282807
745;3.13318875;0.23150587;0.079232924
747;3.15817866;0.23612566;0.142116742
749;3.163195775;0.2571349;0.179023937
751;3.173184422;0.22103825;0.217301365
753;3.127374401;0.24336292;0.224256796
755;3.153806717;0.253144;0.15530668
757;3.21033571;0.25922835;0.092422861
759;3.165847799;0.26924596;0.053796775
761;3.151170395;0.23012573;0.02870989
763;3.152361115;0.20252412;0.013190543
765;3.163886274;0.21996977;0.023608749
767;3.14390788;0.23405862;0.09345447
769;3.192942963;0.20056864;0.125650459
771;3.135272263;0.19925768;0.155765625
773;3.231182196;0.19757742;0.181160473
775;3.099268013;0.21831033;0.170742267
777;3.096315664;0.23992169;0.100896546
779;3.091371349;0.23809192;0.068700557
781;3.179827952;0.25272523;0.030539061
783;3.131306542;0.23056979;0.020664981
785;3.18163306;0.20823359;0.065616933
787;3.229394959;0.2008591;0.103347277
789;3.178401974;0.17114321;0.16702243
791;3.197925575;0.23174277;0.193908598
793;3.150212302;0.23571806;0.188864601
795;3.181114491;0.22396068;0.157138
797;3.172146567;0.23309018;0.119407656
799;3.207946;0.23562805;0.055732503
801;3.14969777;0.20828603;0.023702122
803;3.142843966;0.24816755;0.013225351
805;3.167420554;0.23334419;0.015363218
807;3.196379564;0.20763036;0.046004934
809;3.194534129;0.19312424;0.065903548
811;3.177582948;0.19712072;0.130593085
813;3.143985059;0.22052391;0.176672476
815;3.200607766;0.18620384;0.192980623
817;3.169113434;0.21955696;0.162338907
819;3.112484246;0.20321065;0.142440293
821;3.162490524;0.23729828;0.077750756
823;3.176274029;0.23513603;0.031671365
825;3.146993718;0.20780962;0.033672354
827;3.193218872;0.192267;0.088739351
829;3.182250588;0.20840169;0.143437038
831;3.087162417;0.21525291;0.172737904
833;3.106087992;0.20815326;0.198337065
835;3.151535778;0.21953576;0.164664711
837;3.213540087;0.20197295;0.109597714
839;3.262906372;0.19285907;0.054900027
841;3.183519975;0.21199652;0.025599161
843;3.194286382;0.23637781;0.038527619
845;3.078523534;0.18036718;0.088897725
847;3.156741354;0.18188975;0.176367684
849;3.140839196;0.19609464;0.191566126
851;3.208301942;0.18350679;0.250874058
853;3.138665091;0.22288104;0.212346439
855;3.149016962;0.19124649;0.161976333
857;3.181111913;0.19210782;0.074506374
859;3.170513685;0.19674993;0.059307932
861;3.165880204;0.1948045;4.66294E-16
863;3.183412385;0.17358922;0.004648106
865;3.242574239;0.18408362;0.061717305
867;3.189540523;0.1550074;0.115217158
