Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:32:12
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;51;83.01;3.53;;;1.81;1.59;20.77;;419.79;;21.82;0.0088;Distortion. Melting. End flame at 176s.;2010-07-27;c_LSFIRE_IN8-3_50a;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
909;0.919396725;0.13418492;0.208622256
911;0.938705406;0.12374526;0.267244674
913;0.929515856;0.17548474;0.246344289
915;0.919724116;0.17133458;0.212942586
917;0.926361504;0.16757723;0.164044186
919;0.920682123;0.18071525;0.087774079
921;0.927367395;0.1416129;0.044790278
923;0.91628045;0.14473455;0.038325639
925;0.916688536;0.13732448;0.129124047
927;0.913554254;0.12345931;0.18272248
929;0.907962341;0.17064263;0.245029387
931;0.929758274;0.14999272;0.229390771
933;0.944003115;0.14278219;0.215425664
935;0.92990014;0.14919172;0.11590534
937;0.924670106;0.14545228;0.100867498
939;0.918600142;0.11270102;0.040077035
941;0.939789558;0.1652726;0.102827563
943;0.918454765;0.13617908;0.179620279
945;0.924360021;0.12464147;0.222093259
947;0.94493812;0.12019248;0.183532668
949;0.925826049;0.13996692;0.182016224
951;0.926741775;0.13736313;0.119265696
953;0.923029679;0.16266378;0.04247298
955;0.936488741;0.10866273;-3.01981E-15
957;0.915571334;0.11609574;0.00410571
959;0.911724949;0.105674;0.052757926
961;0.925497308;0.06954058;0.077928283
963;0.920554609;0.2076622;0.079863147
965;0.931190591;0.08675712;0.079863147
967;0.93471685;0.1214023;0.075757437
969;0.931630103;0.09511399;0.027105221
971;0.926863755;0.09064708;0.001934864
973;0.911595193;0.08365589;-3.01079E-15
975;0.914387751;0.08969023;0.017426785
977;0.929933392;0.06344277;0.08359136
979;0.927311162;0.07044685;0.142555856
981;0.922487078;0.06297801;0.15631176
983;0.907174823;0.07814791;0.15631176
985;0.933108461;0.08800559;0.138884975
987;0.929084268;0.09236534;0.0727204
989;0.909094415;0.05673722;0.013755904
991;0.916650446;0.07550327;-3.01703E-15
993;0.927494165;0.02077475;0.034737743
995;0.9235975;0.07332842;0.057065626
997;0.919564972;0.05892716;0.092824123
999;0.924632757;0.03914266;0.116705324
1001;0.913148015;0.0859203;0.116705324
1003;0.923017566;0.07447979;0.081967581
1005;0.931931544;0.05406996;0.059639698
1007;0.914657106;0.09755186;0.023881201
1009;0.917756446;0.04751273;-3.01981E-15
1011;0.897177272;0.04269325;0.05990142
1013;0.928209197;0.04326013;0.138756162
1015;0.933559497;0.08233169;0.166575534
1017;0.929474198;0.06797096;0.166575534
1019;0.904928398;0.06666184;0.209962161
1021;0.93976343;0.12644175;0.15006074
1023;0.916105167;0.08654846;0.071205999
1025;0.930666986;0.09939519;0.043386627
1027;0.935620565;0.06391005;0.070385325
1029;0.90822355;0.07826292;0.026998699
1031;0.934654785;0.08553001;0.114779328
1033;0.9413142;0.03254741;0.182379905
1035;0.932426712;0.02513231;0.235864423
