Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-03-17 14:41:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
75;12;69.81;3.66;;;1.81;1.71;18.81;;410.23;;39.63;0.0088;Distortion. End flame at 95s.
;2010-07-28;c_LSFIRE_IN8-3_75b;0.4;;;;;;;;;;;;;;
VectorData
THR (MJ/m2);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
747;0.639673512;0.3110749;0.04416862
749;0.633333601;0.31519534;0.005936129
751;0.627292312;0.29632098;0.0350309
753;0.639347444;0.28689832;0.09377138
755;0.630151027;0.31450105;0.103666836
757;0.635681393;0.28831107;0.103666836
759;0.629745166;0.31076602;0.103666836
761;0.64207266;0.30331198;0.091766951
763;0.635167948;0.3225723;0.073639741
765;0.637765657;0.28464498;0.139430087
767;0.622686672;0.27864576;0.154925243
769;0.648731167;0.28517398;0.164597049
771;0.63842193;0.31105074;0.141466034
773;0.620701559;0.297829;0.100852763
775;0.635423486;0.28415534;0.025166962
777;0.637713877;0.28643528;0.081130932
779;0.638384866;0.2603536;0.079810247
781;0.623337447;0.25676894;0.139009065
783;0.640287702;0.28434072;0.176328962
785;0.639586465;0.27160835;0.176328962
787;0.639201301;0.31116311;0.160947323
789;0.634032134;0.30401333;0.177960021
791;0.625255266;0.30331904;0.193060804
793;0.623954165;0.24983521;0.164750537
795;0.626677281;0.30139249;0.164750537
797;0.640419595;0.24297857;0.10867305
799;0.638701533;0.29523475;0.08330923
801;0.633825226;0.27850543;0.103524503
803;0.64342549;0.25597313;0.182924985
805;0.624749731;0.27961636;0.182924985
807;0.637412152;0.26686201;0.228959412
809;0.63511164;0.2722679;0.242716612
811;0.641076852;0.27055469;0.148201739
813;0.63438659;0.27515365;0.059791627
815;0.631917762;0.26353954;0.139444455
817;0.641285882;0.24729986;0.162744033
819;0.634450688;0.24106939;0.148986833
821;0.623893849;0.2445501;0.148986833
823;0.633187939;0.25998311;0.148986833
825;0.637320296;0.25867133;0.069334005
827;0.639395079;0.24661398;0.032105942
829;0.637090101;0.2606185;0.138925693
831;0.625361123;0.25760491;0.188242891
833;0.636969009;0.24013462;0.205319347
835;0.63403253;0.27739424;0.217487129
837;0.637299504;0.28129863;0.185381187
839;0.636131554;0.26605534;0.078561436
841;0.633478144;0.24022038;0.050201054
843;0.6336992;0.25805656;0.103347944
845;0.631375603;0.24307139;0.168531508
847;0.626300599;0.2471723;0.168531508
849;0.631186489;0.24113779;0.212689626
851;0.631084175;0.25148925;0.19173281
853;0.639980323;0.27047598;0.121509464
855;0.636137023;0.25967287;0.089973897
857;0.636373565;0.25229592;0.153073117
859;0.62080672;0.2439356;0.13305543
861;0.636548981;0.24197567;0.137044769
863;0.629626813;0.25091547;0.137044769
865;0.639078038;0.25799495;0.09122899
867;0.632145185;0.26000129;0.034838471
869;0.641950106;0.25111876;0.010698039
871;0.645371916;0.23463644;0.080836316
873;0.62872441;0.24773902;0.105323896
875;0.624476653;0.25019267;0.143152445
877;0.630535738;0.23727546;0.136443745
879;0.634905393;0.22725948;0.136443745
881;0.637467761;0.20011274;0.062316128
883;0.631524877;0.19658562;0.101896345
885;0.63040102;0.1666807;0.159754409
887;0.632671064;0.18562808;0.205559941
889;0.637696356;0.1906396;0.231061192
891;0.635763434;0.19112246;0.231061192
893;0.637324588;0.19019637;0.166993395
895;0.638085611;0.18939377;0.071306783
897;0.646677471;0.16763339;0.025501251
899;0.641434117;0.18234089;0.030457606
901;0.633485408;0.16906432;0.069569124
903;0.626840601;0.15862492;0.11882257
905;0.638932574;0.17168788;0.11882257
907;0.627939051;0.18399656;0.11882257
909;0.626580427;0.19211016;0.112323627
911;0.632518807;0.17845876;0.077446386
913;0.636929898;0.17857547;0.114461162
915;0.644446531;0.17743333;0.162600926
917;0.64274894;0.19698678;0.162600926
919;0.630623284;0.19552491;0.138642262
921;0.621076781;0.18283922;0.134407986
923;0.636119072;0.17511403;0.079389185
925;0.628102033;0.15598155;0.065259713
927;0.634196264;0.17152937;0.073511948
929;0.636393702;0.15611183;0.073511948
931;0.630876425;0.15446485;0.073511948
933;0.634646588;0.16808775;0.042262526
935;0.634355419;0.16395618;0.008252235
937;0.63677395;0.14649022;0.05229205
939;0.637672493;0.15515941;0.05229205
941;0.633325163;0.14224628;0.066305749
943;0.632300972;0.14983929;0.066738624
945;0.628591881;0.16458886;0.066738624
947;0.644368192;0.17311203;0.04167239
949;0.63352231;0.16233986;0.101949764
951;0.64046652;0.14795644;0.139015126
953;0.631714704;0.130193;0.160959242
955;0.635412672;0.14468038;0.160959242
957;0.633427681;0.16973229;0.151969325
959;0.642329748;0.13845832;0.097783659
961;0.635807297;0.1451057;0.098369133
963;0.627740496;0.12110311;0.103414826
965;0.613939161;0.13432919;0.103414826
967;0.629883092;0.13741579;0.085178927
969;0.632433445;0.14941397;0.07908722
971;0.640101735;0.15537954;0.064298906
973;0.638479047;0.13142336;0.068626043
975;0.636871451;0.1285642;0.100916471
977;0.630840992;0.11549229;0.152543472
979;0.631084581;0.13935184;0.152543472
981;0.626237191;0.14746951;0.11566725
983;0.627221135;0.16040219;0.096387812
985;0.634502436;0.13610646;0.102875528
987;0.617756384;0.14489209;0.114755899
989;0.633307376;0.12380646;0.166352
991;0.642528806;0.13183157;0.166352
993;0.640064458;0.15657488;0.153881617
995;0.623470689;0.14370381;0.115103474
997;0.631466727;0.12242167;0.077153938
