Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polypropylene floor covering 8.5 mm;Minerit board;;;Floor;;;ISO 5660;SP Report 2007:29 The Influence of floor materials on room fires;;;1;2007-06-28 14:04:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;12;582;36.7;143.2;98.3;17.4;18.23;11.2;387;205;0.0088;8.5;
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);MLR (g/s);SPR (m2/s)
;;;;
Time (s);HRR (kW/m);SEA (m/kg);MLR (g/s);SPR (m/s)
842;0.502368527;0;-0.005446375;3.89E-06
844;-0.326887394;-19.67589974;0.01951275;-0.000383931
846;0.159137689;-478.2701316;0.001223292;-0.000585064
848;-0.096461599;0;-0.031223208;-0.000654829
850;-0.376566224;-6.893068634;0.020539292;-0.000141579
852;1.011558745;-11.96361348;0.010072708;-0.000120506
854;0.776626268;0;-0.018245292;-0.000362684
856;-0.311974046;0;-0.011820958;-0.000352027
858;0.23648777;-8.11077585;0.0258;-0.000209258
860;-0.414025753;0.566382547;0.029449167;1.67E-05
862;-0.631967323;0;-0.025138208;-0.000167975
864;-0.047078967;0;-0.03073975;-0.000513517
866;0.804403963;-25.04336391;0.025779583;-0.000645607
868;0.735902456;-26.96897108;0.024136292;-0.000650931
870;1.111731146;-40.24497372;0.019864667;-0.000799453
872;0.527657155;-122.0000176;0.002768;-0.000337696
874;0.062460861;0;-0.042399708;-0.000444244
876;0.430000095;-121.7490587;0.002758875;-0.00033589
878;-1.046139727;15.37303294;0.01874825;0.000288217
880;-1.425660754;0;-0.002464417;-0.000379543
882;-0.925057362;0;-0.002513708;-5.02E-05
884;-0.532135172;19.02034737;0.023337292;0.000443883
886;-0.034789341;36.08790254;0.00883075;0.000318683
888;1.512392166;-1.561598455;0.013925333;-2.17E-05
890;0.828031329;-1.457328631;0.036690667;-5.35E-05
892;1.006445641;0;-0.220316;-0.000269097
